StateX StateY NodeDes BatteryLife 
1.43 0.46 3.00 89.90
1.43 0.46 4.00 89.80
1.37 0.46 4.00 89.70
1.31 0.45 4.00 89.60
1.25 0.43 4.00 89.50
1.19 0.40 4.00 89.40
1.14 0.37 4.00 89.30
1.09 0.33 4.00 89.20
1.05 0.28 4.00 89.10
1.01 0.23 4.00 89.00
0.97 0.18 4.00 88.90
0.94 0.12 4.00 88.80
0.92 0.06 4.00 88.70
0.90 -0.00 4.00 88.60
0.88 -0.06 4.00 88.50
0.87 -0.13 4.00 88.40
0.87 -0.20 4.00 88.30
0.87 -0.26 4.00 88.20
0.87 -0.33 4.00 88.10
0.88 -0.40 4.00 88.00
0.89 -0.46 4.00 87.90
0.90 -0.53 4.00 87.80
0.91 -0.60 4.00 87.70
0.93 -0.67 4.00 87.60
0.94 -0.74 4.00 87.50
0.96 -0.80 4.00 87.40
0.97 -0.87 4.00 87.30
0.97 -0.94 4.00 87.20
0.98 -1.00 4.00 87.10
0.97 -1.05 4.00 87.00
0.97 -1.09 4.00 86.90
0.96 -1.12 4.00 86.80
0.95 -1.14 4.00 86.70
0.94 -1.16 4.00 86.60
0.93 -1.17 4.00 86.50
0.92 -1.19 4.00 86.40
0.91 -1.19 4.00 86.30
0.91 -1.20 4.00 86.20
0.90 -1.20 4.00 86.10
0.90 -1.21 4.00 86.00
0.90 -1.21 4.00 85.90
0.89 -1.21 4.00 85.80
0.89 -1.21 4.00 85.70
0.89 -1.21 4.00 85.60
0.89 -1.21 4.00 85.50
0.89 -1.21 4.00 85.40
0.89 -1.21 5.00 85.30
0.82 -1.23 5.00 85.20
0.76 -1.25 5.00 85.10
0.69 -1.27 5.00 85.00
0.62 -1.28 5.00 84.90
0.55 -1.30 5.00 84.80
0.49 -1.31 5.00 84.70
0.42 -1.31 5.00 84.60
0.35 -1.32 5.00 84.50
0.28 -1.33 5.00 84.40
0.21 -1.33 5.00 84.30
0.14 -1.33 5.00 84.20
0.07 -1.33 5.00 84.10
0.00 -1.33 5.00 84.00
-0.07 -1.32 5.00 83.90
-0.14 -1.32 5.00 83.80
-0.21 -1.31 5.00 83.70
-0.27 -1.30 5.00 83.60
-0.34 -1.29 5.00 83.50
-0.41 -1.28 5.00 83.40
-0.48 -1.27 5.00 83.30
-0.55 -1.26 5.00 83.20
-0.62 -1.25 5.00 83.10
-0.68 -1.24 5.00 83.00
-0.72 -1.23 5.00 82.90
-0.75 -1.23 5.00 82.80
-0.78 -1.22 5.00 82.70
-0.80 -1.22 5.00 82.60
-0.82 -1.22 5.00 82.50
-0.83 -1.22 5.00 82.40
-0.84 -1.22 5.00 82.30
-0.85 -1.22 5.00 82.20
-0.86 -1.21 5.00 82.10
-0.86 -1.21 5.00 82.00
-0.87 -1.21 5.00 81.90
-0.87 -1.21 5.00 81.80
-0.87 -1.21 5.00 81.70
-0.87 -1.21 5.00 81.60
-0.88 -1.21 5.00 81.50
-0.88 -1.21 5.00 81.40
-0.88 -1.21 5.00 81.30
-0.88 -1.21 6.00 81.20
-0.94 -1.21 6.00 81.10
-1.00 -1.19 6.00 81.00
-1.06 -1.17 6.00 80.90
-1.11 -1.14 6.00 80.80
-1.16 -1.11 6.00 80.70
-1.21 -1.07 6.00 80.60
-1.25 -1.02 6.00 80.50
-1.29 -0.97 6.00 80.40
-1.33 -0.91 6.00 80.30
-1.36 -0.86 6.00 80.20
-1.38 -0.80 6.00 80.10
-1.40 -0.73 6.00 80.00
-1.41 -0.67 6.00 79.90
-1.42 -0.61 6.00 79.80
-1.43 -0.54 6.00 79.70
-1.43 -0.47 6.00 79.60
-1.43 -0.41 6.00 79.50
-1.42 -0.34 6.00 79.40
-1.41 -0.27 6.00 79.30
-1.40 -0.20 6.00 79.20
-1.39 -0.13 6.00 79.10
-1.37 -0.06 6.00 79.00
-1.36 0.00 6.00 78.90
-1.34 0.07 6.00 78.80
-1.34 0.14 6.00 78.70
-1.33 0.20 6.00 78.60
-1.33 0.26 6.00 78.50
-1.34 0.31 6.00 78.40
-1.34 0.35 6.00 78.30
-1.35 0.38 6.00 78.20
-1.36 0.40 6.00 78.10
-1.37 0.42 6.00 78.00
-1.38 0.43 6.00 77.90
-1.39 0.44 6.00 77.80
-1.40 0.44 6.00 77.70
-1.40 0.45 6.00 77.60
-1.41 0.45 6.00 77.50
-1.41 0.46 6.00 77.40
-1.41 0.46 6.00 77.30
-1.42 0.46 6.00 77.20
-1.42 0.46 6.00 77.10
-1.42 0.46 6.00 77.00
-1.42 0.46 6.00 76.90
-1.42 0.46 6.00 76.80
-1.42 0.46 2.00 76.70
-1.36 0.45 2.00 76.60
-1.30 0.44 2.00 76.50
-1.23 0.43 2.00 76.40
-1.17 0.43 2.00 76.30
-1.11 0.44 2.00 76.20
-1.04 0.45 2.00 76.10
-0.98 0.47 2.00 76.00
-0.92 0.49 2.00 75.90
-0.86 0.52 2.00 75.80
-0.80 0.56 2.00 75.70
-0.75 0.59 2.00 75.60
-0.69 0.63 2.00 75.50
-0.64 0.68 2.00 75.40
-0.60 0.72 2.00 75.30
-0.55 0.77 2.00 75.20
-0.51 0.82 2.00 75.10
-0.47 0.88 2.00 75.00
-0.43 0.93 2.00 74.90
-0.39 0.99 2.00 74.80
-0.35 1.05 2.00 74.70
-0.32 1.11 2.00 74.60
-0.28 1.17 2.00 74.50
-0.25 1.23 2.00 74.40
-0.21 1.29 2.00 74.30
-0.18 1.34 2.00 74.20
-0.15 1.38 2.00 74.10
-0.12 1.41 2.00 74.00
-0.10 1.44 2.00 73.90
-0.08 1.45 2.00 73.80
-0.07 1.47 2.00 73.70
-0.05 1.48 2.00 73.60
-0.04 1.48 2.00 73.50
-0.03 1.49 2.00 73.40
-0.03 1.49 2.00 73.30
-0.02 1.49 2.00 73.20
-0.02 1.50 2.00 73.10
-0.01 1.50 2.00 73.00
-0.01 1.50 2.00 72.90
-0.01 1.50 2.00 72.80
-0.01 1.50 2.00 72.70
-0.01 1.50 2.00 72.60
-0.00 1.50 2.00 72.50
-0.00 1.50 3.00 72.40
0.06 1.51 3.00 72.30
0.12 1.51 3.00 72.20
0.19 1.51 3.00 72.10
0.25 1.51 3.00 72.00
0.32 1.49 3.00 71.90
0.38 1.48 3.00 71.80
0.44 1.46 3.00 71.70
0.50 1.43 3.00 71.60
0.56 1.40 3.00 71.50
0.62 1.36 3.00 71.40
0.67 1.33 3.00 71.30
0.72 1.29 3.00 71.20
0.77 1.24 3.00 71.10
0.82 1.19 3.00 71.00
0.87 1.14 3.00 70.90
0.91 1.09 3.00 70.80
0.95 1.04 3.00 70.70
1.00 0.98 3.00 70.60
1.03 0.93 3.00 70.50
1.07 0.87 3.00 70.40
1.11 0.81 3.00 70.30
1.15 0.75 3.00 70.20
1.19 0.69 3.00 70.10
1.23 0.64 3.00 70.00
1.26 0.59 3.00 69.90
1.29 0.56 3.00 69.80
1.32 0.53 3.00 69.70
1.34 0.51 3.00 69.60
1.35 0.50 3.00 69.50
1.37 0.49 3.00 69.40
1.38 0.48 3.00 69.30
1.39 0.48 3.00 69.20
1.40 0.47 3.00 69.10
1.40 0.47 3.00 69.00
1.41 0.47 3.00 68.90
1.41 0.47 3.00 68.80
1.41 0.47 3.00 68.70
1.42 0.47 3.00 68.60
1.42 0.46 3.00 68.50
1.42 0.46 3.00 68.40
1.42 0.46 3.00 68.30
1.42 0.46 1.00 68.20
1.36 0.48 1.00 68.10
1.29 0.48 1.00 68.00
1.22 0.48 1.00 67.90
1.16 0.48 1.00 67.80
1.09 0.48 1.00 67.70
1.03 0.47 1.00 67.60
0.96 0.45 1.00 67.50
0.89 0.44 1.00 67.40
0.83 0.42 1.00 67.30
0.77 0.39 1.00 67.20
0.70 0.37 1.00 67.10
0.64 0.34 1.00 67.00
0.58 0.31 1.00 66.90
0.52 0.28 1.00 66.80
0.46 0.24 1.00 66.70
0.40 0.21 1.00 66.60
0.34 0.17 1.00 66.50
0.28 0.13 1.00 66.40
0.22 0.10 1.00 66.30
0.18 0.07 1.00 66.20
0.14 0.05 1.00 66.10
0.11 0.04 1.00 66.00
0.09 0.03 1.00 65.90
0.07 0.02 1.00 65.80
0.06 0.01 1.00 65.70
0.05 0.01 1.00 66.20
0.04 0.01 1.00 66.70
0.03 0.01 1.00 67.20
0.02 0.00 1.00 67.70
0.02 0.00 1.00 68.20
0.01 0.00 1.00 68.70
0.01 0.00 1.00 69.20
0.01 0.00 1.00 69.70
0.01 0.00 1.00 70.20
0.01 0.00 1.00 70.70
0.00 0.00 1.00 71.20
0.00 0.00 1.00 71.70
0.00 0.00 1.00 72.20
0.00 0.00 3.00 72.70
0.07 0.01 3.00 72.60
0.14 0.02 3.00 72.50
0.21 0.03 3.00 72.40
0.28 0.05 3.00 72.30
0.34 0.07 3.00 72.20
0.41 0.09 3.00 72.10
0.48 0.11 3.00 72.00
0.54 0.13 3.00 71.90
0.61 0.15 3.00 71.80
0.67 0.18 3.00 71.70
0.74 0.20 3.00 71.60
0.80 0.23 3.00 71.50
0.87 0.26 3.00 71.40
0.93 0.28 3.00 71.30
1.00 0.31 3.00 71.20
1.06 0.34 3.00 71.10
1.13 0.37 3.00 71.00
1.19 0.39 3.00 70.90
1.24 0.41 3.00 70.80
1.28 0.43 3.00 70.70
1.31 0.44 3.00 70.60
1.33 0.44 3.00 70.50
1.35 0.45 3.00 70.40
1.37 0.45 3.00 70.30
1.38 0.46 3.00 70.20
1.39 0.46 3.00 70.10
1.40 0.46 3.00 70.00
1.40 0.46 3.00 69.90
1.41 0.46 3.00 69.80
1.41 0.46 3.00 69.70
1.42 0.46 3.00 69.60
1.42 0.46 3.00 69.50
1.42 0.46 3.00 69.40
1.42 0.46 3.00 69.30
1.42 0.46 3.00 69.20
1.42 0.46 3.00 69.10
1.42 0.46 3.00 69.00
1.42 0.46 3.00 68.90
1.42 0.46 3.00 68.80
1.42 0.46 3.00 68.70
1.42 0.46 3.00 68.60
1.42 0.46 3.00 68.50
1.42 0.46 3.00 68.40
1.42 0.46 3.00 68.30
1.42 0.46 3.00 68.20
1.42 0.46 3.00 68.10
1.42 0.46 3.00 68.00
1.42 0.46 3.00 67.90
1.42 0.46 4.00 67.80
1.36 0.45 4.00 67.70
1.30 0.44 4.00 67.60
1.24 0.41 4.00 67.50
1.19 0.38 4.00 67.40
1.14 0.35 4.00 67.30
1.09 0.30 4.00 67.20
1.05 0.26 4.00 67.10
1.01 0.20 4.00 67.00
0.98 0.15 4.00 66.90
0.95 0.09 4.00 66.80
0.93 0.03 4.00 66.70
0.91 -0.03 4.00 66.60
0.90 -0.10 4.00 66.50
0.89 -0.16 4.00 66.40
0.88 -0.23 4.00 66.30
0.88 -0.29 4.00 66.20
0.89 -0.36 4.00 66.10
0.89 -0.43 4.00 66.00
0.90 -0.50 4.00 65.90
0.92 -0.56 4.00 65.80
0.93 -0.63 4.00 65.70
0.94 -0.70 4.00 65.60
0.96 -0.77 4.00 65.50
0.97 -0.84 4.00 65.40
0.98 -0.91 4.00 65.30
0.98 -0.97 4.00 65.20
0.98 -1.03 4.00 65.10
0.97 -1.07 4.00 65.00
0.96 -1.11 4.00 64.90
0.95 -1.13 4.00 64.80
0.94 -1.15 4.00 64.70
0.93 -1.17 4.00 64.60
0.93 -1.18 4.00 64.50
0.92 -1.19 4.00 64.40
0.91 -1.20 4.00 64.30
0.91 -1.20 4.00 64.20
0.90 -1.20 4.00 64.10
0.90 -1.21 4.00 64.00
0.89 -1.21 4.00 63.90
0.89 -1.21 4.00 63.80
0.89 -1.21 4.00 63.70
0.89 -1.21 4.00 63.60
0.89 -1.21 4.00 63.50
0.89 -1.21 4.00 63.40
0.89 -1.21 4.00 63.30
0.89 -1.21 4.00 63.20
0.89 -1.21 4.00 63.10
0.89 -1.21 4.00 63.00
0.89 -1.21 4.00 62.90
0.89 -1.21 4.00 62.80
0.89 -1.21 4.00 62.70
0.89 -1.21 4.00 62.60
0.89 -1.21 4.00 62.50
0.89 -1.21 4.00 62.40
0.89 -1.21 4.00 62.30
0.89 -1.21 4.00 62.20
0.89 -1.21 4.00 62.10
0.89 -1.21 1.00 62.00
0.83 -1.23 1.00 61.90
0.77 -1.23 1.00 61.80
0.71 -1.23 1.00 61.70
0.65 -1.22 1.00 61.60
0.59 -1.20 1.00 61.50
0.53 -1.17 1.00 61.40
0.48 -1.14 1.00 61.30
0.43 -1.10 1.00 61.20
0.38 -1.05 1.00 61.10
0.34 -1.01 1.00 61.00
0.30 -0.95 1.00 60.90
0.27 -0.90 1.00 60.80
0.24 -0.84 1.00 60.70
0.22 -0.78 1.00 60.60
0.20 -0.71 1.00 60.50
0.19 -0.65 1.00 60.40
0.17 -0.58 1.00 60.30
0.16 -0.51 1.00 60.20
0.16 -0.44 1.00 60.10
0.15 -0.37 1.00 60.00
0.14 -0.30 1.00 59.90
0.13 -0.24 1.00 59.80
0.12 -0.18 1.00 59.70
0.10 -0.14 1.00 59.60
0.09 -0.10 1.00 59.50
0.08 -0.08 1.00 59.40
0.07 -0.06 1.00 59.30
0.06 -0.04 1.00 59.20
0.05 -0.03 1.00 59.10
0.04 -0.02 1.00 59.60
0.03 -0.02 1.00 60.10
0.02 -0.01 1.00 60.60
0.02 -0.01 1.00 61.10
